,query,category,intent,sentiment
21827,can you tell me how to check my shipment?,,,
21828,ask an agent where to view the status of my purchase,,,
21829,tell me how I casn check my deliveries,,,
21830,were to check my package,,,
21831,can you tell me how to know where my delivery is?,,,
21832,where do I track my orders?,,,
21833,how can I know where my packages are?,,,
21834,where to track my shipment,,,
21835,can you tell me how I can track my orders?,,,
21836,can you tell me about the status of my order?,,,
21837,I want to know how I can track my package,,,
21838,how can I check my order?,,,
21839,I need help checking my shipment,,,
21840,can you tell me how I can know where my order is?,,,
21841,could you ask an agent where I ca check my orders?,,,
21842,"ploease, can you ask an agnet how I can check my fucking orders?",,,
21843,I want to know how I can know where my package is,,,
21844,I want to know how to track my delivery,,,
21845,"I want to check my packages, can you tell me where I can do it?",,,
21846,I want to know where I can check my packages,,,
21847,"I want to see the staus of my purchase, what do I have to do?",,,
21848,I want to know where to track my delivery,,,
21849,is it posaible to check my shipments?,,,
21850,I want to view the status of my order,,,
21851,tell me where I can check my order,,,
21852,I want to check my delivery,,,
21853,are my shipments on trheir way?,,,
21854,where do I track my delivery?,,,
21855,"I wanna track my order, tell me where to do it",,,
21856,canyou track my order?,,,
21857,is it possible to check my orders?,,,
21858,"i wanna check my shipment, can you tell me how I can do it?",,,
21859,"I want to see the status of my purcase, can you help me?",,,
21860,tell me how I can track my order,,,
21861,"I want to track my packages, tell me how to do it",,,
21862,"I want to check my order, tell me where I can do it",,,
21863,"I wanna track my delivery, tell me where I can do it",,,
21864,how  to check my shipment,,,
21865,tell me how I can know where my package is,,,
21866,I want to know where my order is,,,
21867,I need help tracking my order,,,
21868,i wanna view the status of my order,,,
21869,how can I track my packages?,,,
21870,"I want to check my shipments, can you tell me how to do it?",,,
21871,tell me where I can check my package,,,
21872,ask an agent if I can track my order,,,
21873,where can I check my delivery?,,,
21874,I want to know where to check my shipment,,,
21875,can you show me information about the status of my purchase?,,,
21876,can you ask an agent to track my order?,,,
21877,"i want to track my delivery, can you tell me how to do it?",,,
21878,"I want to check my shipments, can you tell me where I can do it?",,,
21879,"I want to rtack my shipment, can you tell me where to do it?",,,
21880,I want to know how I can know where my shipment is,,,
21881,can you tell me where I can track my packages?,,,
21882,can I check my order?,,,
21883,"id like to track my orders, can you tell me how to do it, please?",,,
21884,can you tell me if i can check my delivery?,,,
21885,tell me where to check my package,,,
21886,I want to know how I can check my shipments,,,
21887,tell me how I can track my shipment,,,
21888,"please, can you tell me how to check my delivery?",,,
21889,can u ask an agnt to show me the status of my order?,,,
21890,"I want to view the status of my purchase, what should I do?",,,
21891,"can u ask an agent how  could see the status of my fucking purchase, please?",,,
21892,"I wanna check my deliveries, tell me where I can do it",,,
21893,I want to know how I can track my orders,,,
21894,tell me where to track my shipment,,,
21895,i wanna know how I can check my package,,,
21896,I want to know how to track my packages,,,
21897,"please, could u ask an agent what my delivery of my fucking order iks?",,,
21898,where do I track my purchase?,,,
21899,can you tell me if I can track my package?,,,
21900,"please, I wanna know how I can track my orders",,,
21901,can you ask an agent if i can check my shipments?,,,
21902,tell me where to check my shipment,,,
21903,"I want to track my package, can you tell me how to do it?",,,
21904,can I check my package?,,,
21905,what is the status of my order?,,,
21906,I wamt to know how I can check my deliveris,,,
21907,where can I check the status of my purchase ?,,,
21908,where do I check mydelivery?,,,
21909,can u ask an agent where to check my shipments?,,,
21910,tell me how to know where my shipments are,,,
21911,I want to see the status of my purchase,,,
21912,"I wanna track my order, can you tell me where I can do it?",,,
21913,i need information about the status of my order,,,
21914,"I want to track my shipments, tell me where to do it",,,
21915,I want to know where I can check my deliveries,,,
21916,"i wanna check my fucking shipment, can you tell me how to do it?",,,
21917,help me see the status of my order,,,
21918,"I want to check my packages, can you tell me how I can do it?",,,
21919,"I want to track my orders, can you tell me how I can do it?",,,
21920,i wanna know how go know where my package is,,,
21921,tell me where to check my delivery,,,
21922,"I want to view the status of my purchase, what do I have to do?",,,
21923,I want to know how to track my package,,,
21924,I want to know where to track my package,,,
21925,I want to know how to know where my shipments are,,,
21926,"I want to track my purchase, what should I do?",,,
21927,could you ask an agent if i can track my fucking order?,,,
21928,can u ask an agent if my shipments are on their way?,,,
21929,ask an agent to track my shipments,,,
21930,tell me how to check my delivery,,,
21931,"I want to track my delivery, tell me how I can do it",,,
21932,help me check my deliveties,,,
21933,can u ask an agnet if my fucking orders are on their way?,,,
21934,i need help checking the status of my purchase,,,
21935,I need help tracking my delivery,,,
21936,"I want to view the status of my order, what should I do?",,,
21937,"I want to check my order, can you tell me how to do it?",,,
21938,"I'd like to see the status of my order, can you help me?",,,
21939,can you ask an agent where I can check my  delivery?,,,
21940,"do you mind asking an agent how I could check my fucking shipments, please?",,,
21941,tell me how to know where my order is,,,
21942,can you ask an agent to track my packages?,,,
21943,can you ask an agent where I can track my packages?,,,
21944,check my package,,,
21945,can u ask an agent how to track my package?,,,
21946,tell me how to check my deliveries,,,
21947,are my orders on their way?,,,
21948,tell me where to track my package,,,
21949,how to check my delivery,,,
21950,how to track my order,,,
21951,ask an agent how I can know where my delivery is,,,
21952,I need help seeing the status of my order,,,
21953,how to view the status of my order,,,
21954,"please, ask an agent if i could check my shipments",,,
21955,"id like to track my shipment, could you tell me how I can do it?",,,
21956,ask an agent how I can track my package,,,
21957,can u ask an agent if I can check my orders?,,,
21958,I want to know where to track my order,,,
21959,I wasn to know how I can know where my packages are,,,
21960,I want to know how to track  my order,,,
21961,can you check my packages?,,,
21962,"I want to track my shipment, tell me where to do it",,,
21963,"please, i want to know how to know where my fucking packages are",,,
21964,I wanna know where I can check my shipment,,,
21965,ask an agent if i can chexk my shipments,,,
21966,tell me where I can track my packages,,,
21967,"I wanna check my package, can you tell me hwere I can do i?",,,
21968,"i want to see the status of my fucking purchase, what can i do?",,,
21969,tell me how to track my package,,,
21970,can you tell me how to know where my package is?,,,
21971,"I want to track my packages, tell me where to do it",,,
21972,help me check my package,,,
21973,tell me how I can know where my deliveries are,,,
21974,"please, I want to know how I can check my delivery",,,
21975,"please, could you ask an agent to provide niformation about the status of my purchase?",,,
21976,can you ask an agent if I could check my delivery?,,,
21977,track my order,,,
21978,can you tell me where to check my shipment?,,,
21979,check my delivery,,,
21980,"i wanna track my fucking order, could oyu tell me how yo do it, please?",,,
21981,"I wanna track my orders, can you tell me how I can do it?",,,
21982,"I wanna track my order, tell me where to do it, please",,,
21983,can yyou check my shipment ?,,,
21984,I need help checking my order,,,
21985,how can I see the status of my order?,,,
21986,I want to know where to track my shipment,,,
21987,I want to know how I can check my delivery,,,
21988,can u ask an agent if my order is out for delivery?,,,
21989,tell me how to know where m deliveries are,,,
21990,tell me how I can check my package,,,
21991,"could you ask an agent how I could know where my fucking packages are, please?",,,
21992,can u ask an agent how I can know where my orders are?,,,
21993,"i wanna check my order, can you tell me where I cn do it?",,,
21994,tell me if I can check my packages,,,
21995,help me track my shipment,,,
21996,can I track my package?,,,
21997,"I want to track my rder, canyou tell me how I can do it?",,,
21998,"I want to check my package, tell me where to do it",,,
21999,where to check my delivery,,,
22000,where to track my deliveries,,,
22001,where can I check my shipments?,,,
22002,I want to know if my order is on its way,,,
22003,how do i know where my package is?,,,
22004,can you check my delivery?,,,
22005,"I want to check my deliveries, tell me where I can do it",,,
22006,I want to know where I can check my package,,,
22007,I want to know if I can track my delivery,,,
22008,can you tell me how to check my package ?,,,
22009,can you tell me where I can check my shipments?,,,
22010,how can I know where my package is?,,,
22011,I want to know if I can check my deliveries,,,
22012,can I check my packages?,,,
22013,"i wanna track my delivery, can you tell me where I can do it?",,,
22014,I want to know where I can track my deliveries,,,
22015,i wanna know how I can track my order,,,
22016,can u ask an agent how I could know where my packages are?,,,
22017,were do I view the status of my order?,,,
22018,"I want to see the status of my purchase, what should I do?",,,
22019,can u ask an agent how t track my packages?,,,
22020,can you tell me where I can check my orders?,,,
22021,"please, ask an agent how I could know where my order is",,,
22022,how to track my deliveries,,,
22023,tell me where to track my shipments,,,
22024,I want to know how  to track my orders,,,
22025,can you tell me if my package is out for delivery?,,,
22026,do you mind asking an agent how I can know where my package is?,,,
22027,"I want to check my  delivery, can you tell me where to do it?",,,
22028,"please, can you ask an agent where I could track my packages?",,,
22029,ask an agent where to track my package,,,
22030,I want to know how I can track my packages,,,
22031,can you tell me if i can track my order?,,,
22032,"could u ask an agent how to know where my shipments are, please?",,,
22033,"I want to trfack my order, can you tell me how to do it?",,,
22034,I want to know how to track my shipment,,,
22035,tell me if my packages are on their way,,,
22036,I want to know how I can track my shipment,,,
22037,how do I view the status of my purchase?,,,
22038,"I want to check my shipment, tell me how to do it",,,
22039,can you tell me where to track my shipments?,,,
22040,can u ask  an agent if i can track my order?,,,
22041,"I want to check my shipment, can you tell me where I can do it?",,,
22042,"please, ask an agent about the status of my purchase",,,
22043,I want to know where to check my deliveries,,,
22044,"i want to track my orders, tell me  where to do it",,,
22045,can you tell me if I can check my order?,,,
22046,can I check my orders?,,,
22047,I want to know where to check my packages,,,
22048,i wanna know if I can track my shipment,,,
22049,"I want to track my purchase, can you help me?",,,
22050,I want to know how to check my delivery,,,
22051,help me see the status of my purchase,,,
22052,can I get the tracking number for my order?,,,
22053,can you tell me if I can track my shipments?,,,
22054,can you tell me how I can track my order?,,,
22055,how to track my delivery,,,
22056,ask an agent if i can check my packages,,,
22057,I want to know if I can track my deliveries,,,
22058,I want to track my order,,,
22059,where can I see the status of my order?,,,
22060,can you ask an agent where to check my delivery?,,,
22061,I wanna know how I can know where my shipments are,,,
22062,can u ask an agent if my shipment is out for delivery?,,,
22063,"I want to  check my order , tell me where to do it",,,
22064,can you tell me how to know where my orders are?,,,
22065,can you check my shipments?,,,
22066,i wanna know how to check my shipment,,,
22067,i need help tracking my packages,,,
22068,"I wanna track my delivery, tell me where to do it",,,
22069,is it possible to track my shipment ?,,,
22070,"I want to cherck my order, can you tell me where to do it?",,,
22071,"I want to track my order, what do I have to do?",,,
22072,"I want to check my deliveries, tell me where to do it",,,
22073,can u check my orders?,,,
22074,i wanna know how I can know where my shipment is,,,
22075,can u ask an agent where I can track my order?,,,
22076,ask an agent if i can check my package,,,
22077,"id like to track my deliveries, tell me how I can do it",,,
22078,can you tell me how I can know where my delivery is?,,,
22079,tell me if my packages are out for delivery,,,
22080,"please, do you mind asking an agent if my fucking shipment is out for delivery?",,,
22081,"can you ask an agent where I could track my package, please?",,,
22082,i wanna know where I can check my packages,,,
22083,can u ask an agent how o track my order?,,,
22084,"please, could you ask an agent where I could view the status of my fucking purchase?",,,
22085,can you track my delivery?,,,
22086,"could you tell me where I could track my delivery, please?",,,
22087,I wanna know whewre I can track my shipment,,,
22088,were to see the status of my purchase,,,
22089,is it possible to track my package?,,,
22090,"please, ask an agent where I could view the status of my purchase",,,
22091,"do you mind asking an agent howw to track my delivery, please?",,,
22092,"please, can you ask an agent if I could track my fucking order?",,,
22093,"id like to track my orders, can you tell me how to do it?",,,
22094,can u ask an agent where I can track my shipments?,,,
22095,I want to know how to know where my packages are,,,
22096,tell me if my package is on its way,,,
22097,I want to know if my order is out for delivery,,,
22098,"i wanna check the status of my order, what should i do?",,,
22099,tell me  were to track my order,,,
22100,can you tell me if I can check my package?,,,
22101,tell me how to know where my package is,,,
22102,can you tell me if I can check my packages?,,,
22103,I need help checking the status of my order,,,
22104,could u ask an agent where i can check the status of my order?,,,
22105,"I want to track my deliveries, tell me how to do it",,,
22106,"i wanna check my delivery, tell me where to do it",,,
22107,is it possible to track my shipments?,,,
22108,i wanna know if i can check my shipments,,,
22109,tell me if my orders are on their way,,,
22110,i wanna know if my package is on its way,,,
22111,tack my deliveries,,,
22112,can u ask an agent if i can check my shipments?,,,
22113,can u ask an agent to track my order?,,,
22114,can I view the status of my order?,,,
22115,tell me if I can track my order,,,
22116,can youtell me if I can track my packages?,,,
22117,"id like to check my fucking package, could you tell me  how t do it?",,,
22118,I want to know where I can check my hsipment,,,
22119,I want to know where to check my delivery,,,
22120,tell me how I can know where my order is,,,
22121,can u ask an agent how i could view the status of my fucking purchase?,,,
22122,how can I view the status of my purchase ?,,,
22123,"I'd like to check my fucking shipments, could you tell me how to do it?",,,
22124,can you tell me how I can track my shipments?,,,
22125,"I'd like to see the status of my fucking purchase, could you help me?",,,
22126,can i view the status of my order?,,,
22127,"I want to check the status of my purchase, what do I have to do?",,,
22128,"i would like to check my order, could you tell me where I can do it, please?",,,
22129,how to check my deliveries,,,
22130,ccan you check the status of my purchase?,,,
22131,can you tell me if my package is on its way?,,,
22132,can you ask an agent how to know where my fucking shipment is?,,,
22133,"I want to track my order, tell me where to do it",,,
22134,"I wanna check my shipments, tell me where I can do it",,,
22135,I want to know ho to track  my deliveries,,,
22136,tell me how I can know where my shipments are,,,
22137,"Id like to track my order, tell me where I can od it, please",,,
22138,can you ask an agent if i can track my orders?,,,
22139,ask an agent if I can track my delivery,,,
22140,I wanna know if my packages are out for delivery,,,
22141,can u ask an agent if my delivery is on its way?,,,
22142,"could u ask an agent how i could see the status of my purchase, please?",,,
22143,"I want to track my apckage , can you tell me how I can do it?",,,
22144,where do I see the status of my order?,,,
22145,can I get the tracking number for my shipment?,,,
22146,I want to know how to check my shipments,,,
22147,tell me where I can track my shipments,,,
22148,"please, can u ask an agent what the status of my fucking order is ?",,,
22149,I want to know how to check my package,,,
22150,tell me if I can rtack my shipment,,,
22151,I want to know how to know where my deliveries are,,,
22152,ask an agent if my orders are out for delivery,,,
22153,"i wanna see the status of my purchase, can u help me?",,,
22154,"ask an agent to track my purchase, please",,,
22155,"i wanna check my shipments, can you tell me where to do it?",,,
22156,i want to check m order,,,
22157,ask an agent how i could check the status of my purchase,,,
22158,how can I track my package?,,,
22159,tell me how I can check my orders,,,
22160,can I check my shipment?,,,
22161,"I want to check my package, can you tell me where to do it, please?",,,
22162,i wanna know where I could track my packages,,,
22163,could you tell me if i could track my shipment?,,,
22164,tell me how to check my order,,,
22165,tell me if I can check my fucking shipments,,,
22166,ask an agent if i can see the status of my purchase,,,
22167,can you ask an agent to check my package?,,,
22168,where can I track my package?,,,
22169,where do I track my order?,,,
22170,how do I check the status of my purchase?,,,
22171,I want to know how to know where my shipment is,,,
22172,how to check my order,,,
22173,how can I track my shipments?,,,
22174,how to track my shipment,,,
22175,can i track my shipment?,,,
22176,"I want to track my delivery, can you tell me where I can do it?",,,
22177,tell me where I can check my orders,,,
22178,tell me where I can track my delivery,,,
22179,where to check my shipments,,,
22180,"please, could u ask an agent if my order is on its way?",,,
22181,"I want to track my order, what can I do?",,,
22182,check my shipments,,,
22183,help me check the status of my purchase,,,
22184,"I wanna check ym orders, can you tell me where I can do it?",,,
22185,tell me if I can track my delivery,,,
22186,I need help viewing the status of my purchase,,,
22187,tell me where I can check my shipment,,,
22188,I want to track my shipments,,,
22189,when will my order arrive?,,,
22190,I want to know how I can track my delivery,,,
22191,help me check my delivery,,,
22192,cqn you ask an agent if I can track my delivey?,,,
22193,how do I find my order?,,,
22194,can u ask an agent where I can track my package?,,,
22195,"i want to track my shipment, tell me how I can do it",,,
22196,"I  want to see the status of my order, what should I dp?",,,
22197,"i want to view the status of my purchase, what can i do?",,,
22198,"i wanna track my package, tell me where to do it",,,
22199,"can u ask an agent if I can track my shipments, please?",,,
22200,tell me how I can track my deliveries,,,
22201,I want to know where my purchase is,,,
22202,can u ask an agent if I can check my package?,,,
22203,can you tell me how I can check my shipment?,,,
22204,can you track my packages?,,,
22205,"can you ask an agent to check my fucking packages, please?",,,
22206,check my order,,,
22207,where do I see the status of my purchase?,,,
22208,can you tell me where to check my package?,,,
22209,"please, can you ask an agent to check my package?",,,
22210,"please, could you ask an agent how I can know where my fucking package is?",,,
22211,"I want to view the status of my order, could you help me?",,,
22212,ask an agent where I can check my deliveries,,,
22213,how do I check my package?,,,
22214,can you check my orders?,,,
22215,"I want to check the status of my purchase, what can I do?",,,
22216,can I check the status of my order?,,,
22217,I want to know where to track my orders,,,
22218,where do I check the status of my order?,,,
22219,can you tell me if my order is on its way?,,,
22220,I want to know if I can track my packages,,,
22221,help me track my deliveries,,,
22222,ask an agent to give me information about the status of my purchase,,,
22223,can u ask an agent if i can track my package?,,,
22224,how can I check my shipment?,,,
22225,can you tell me where to check my shipments?,,,
22226,help me track my order,,,
22227,I want to know how I can track my order,,,
22228,tell me if my order is out for delivery,,,
22229,ask an agent if my fucking orders are out for delivery,,,
22230,ask an agent if i can track my deliveries,,,
22231,"ask an agent if I could check my shipments, please",,,
22232,what's the status of my order?,,,
22233,how do I track my order?,,,
22234,"I want to check my package, tell me hopw to do it",,,
22235,"I want to view the status of my purchase, what can I do?",,,
22236,I want to check my package,,,
22237,can you tell me how I can check my shipments?,,,
22238,how do I see the statusof my purchase?,,,
22239,where is my order?,,,
22240,tell me how I  can track my packafes,,,
22241,could you track my package?,,,
22242,can you tell me how I can know where my package is?,,,
22243,ask an agent how I can check my order,,,
22244,"I want totrack my purchase, what do I have to do ?",,,
22245,"can you ask an agent where I can check my shipments, please?",,,
22246,can u ask an agent to show me information about the status of my purchase?,,,
22247,can u ask an agent how to track my order?,,,
22248,how do I track my delivery?,,,
22249,information about the status of my order,,,
22250,can you tell me how I can track my package?,,,
22251,"can u ask an agent whats the status of my oeder, please?",,,
22252,where to check my deliveries,,,
22253,can i check the status of my order?,,,
22254,how do I know where my shipment is?,,,
22255,"I want to check my shipment, tell me where to do it",,,
22256,"i wanna check hte status of my order, can u help me?",,,
22257,I want to view the status of my purchase,,,
22258,can u ask an agent how I can track my package?,,,
22259,how to check my orders,,,
22260,can u ask an agent how i can view the status of my purchase?,,,
22261,I want to know where to ceck my shipments,,,
22262,how can I check my shipments?,,,
22263,"I wanna check my shipments, tell me how to do it",,,
22264,I want to track my deliveries,,,
22265,"please, I wanna know where I could check my order",,,
22266,csn I tack my orders?,,,
22267,is my package out for delivery?,,,
22268,tell me where to check my shipments,,,
22269,"I want to check my shipments, tell me how to do it",,,
22270,can I view the status of my uprchase?,,,
22271,ask an agent how to check my orders,,,
22272,"I want to see the status of my order, what do I have to do?",,,
22273,hoow do I check my shipment?,,,
22274,can u ask an agent how I can track my shipments?,,,
22275,"I want to track my packages, can you tell me where I can do it?",,,
22276,could you ask an agent how I could view the status of my purchase?,,,
22277,how to check the status of my purchase,,,
22278,I want to track my shipment,,,
22279,can u ask an agent how to know where my fucking package is?,,,
22280,"I want to check the status of my purchase, can you help me?",,,
22281,"I want to track my packages, tell me where I can do it",,,
22282,how can I track my shipment?,,,
22283,can you tell me how to track my orders?,,,
22284,"I want to track my orders, can you tell me how to do it?",,,
22285,how to chcek my shipments,,,
22286,could u ask an agent how to view the status of my purchase?,,,
22287,"I want to check my packages, can you tell me how to do it?",,,
22288,tell me where to track my delivery,,,
22289,ask an agent ofr information about the status of my purchase,,,
22290,tell me if I can check my orders,,,
22291,"i wanna trackmyshipments, can you tell me where I can do it?",,,
22292,can u ask an agent if I can track my orders?,,,
22293,"ask an agent how to viwe the status of my order , please",,,
22294,can you track my orders?,,,
22295,tell me were to track my deliveries,,,
22296,can you ask an agent where I can track my shipments?,,,
22297,ask an agent how I can know where my deliveries are,,,
22298,tell me how to track my shipment,,,
22299,"please, can you tell me how I could track my order?",,,
22300,"I  want to track my deliveries, tell me where I acn do it",,,
22301,can u ask an agent if I can track my shipments ?,,,
22302,can you tell me how to track my delivery?,,,
22303,"do you mind asking an agent how to track my fucking order, plase?",,,
22304,i want to know where my order is,,,
22305,can you ask an agent if my shipments are on their way?,,,
22306,"please, could you ask an agent how I could know where my package is?",,,
22307,how can I know where my delivery is?,,,
22308,"could you ask an agent if I can check my shipment, please?",,,
22309,I wanna know how to track my delivery,,,
22310,can you tell me how to track my fucking sdhipment?,,,
22311,how do I track my packages  ?,,,
22312,"I want to track my order, can you help me?",,,
22313,can you tell me if I can track my orders?,,,
22314,"please, ask an agent if i can check the status of my fucking purchase",,,
22315,tell me how to know where my packages are,,,
22316,is it possible to check my packages?,,,
22317,tell me how to track my orders,,,
22318,ask an agent to check my shipment,,,
22319,can i track my purchase?,,,
22320,how do I know where my shipments are?,,,
22321,"I want to check my package, can you tell me where to do it?",,,
22322,where to check my packages,,,
22323,check my packages,,,
22324,"I want to see the status of my order, what can I do?",,,
22325,can I track my shipments?,,,
22326,elp me check my shipment,,,
22327,how do I track my orders?,,,
22328,information about the status of my purchase,,,
22329,track  my packages,,,
22330,i wanna check my packages,,,
22331,I want to know if i can check my delivery,,,
22332,"i want to track my orders, tell me how to do it",,,
22333,I would like to check my packages,,,
22334,I want to see the status of my order,,,
22335,i want to know were I can check my orders,,,
22336,where do I track my shipments?,,,
22337,"i wanna check my package, tell me how to do it",,,
22338,"i want to check my orders, can you tell me where to do it?",,,
22339,I want to know if my package is on its way,,,
22340,can you tell me where I can check my packages?,,,
22341,ask an agent if my package is out for delivery,,,
22342,I wanna know where I can check my roder,,,
22343,I want to know where I can chedk my delivery,,,
22344,"id like to track my shipment, can you tell me how to do it?",,,
22345,i wanna know how I can check my order,,,
22346,can you ask an agent how to track my order?,,,
22347,i wanna know where to check my package,,,
22348,"I want to track my shipments, tell me how I can do it",,,
22349,"I want to check my package, can you tell me where I can do it?",,,
22350,where to check the status of my purchase,,,
22351,I need help tracking my shipment,,,
22352,how can I see the status of my purchase?,,,
22353,is my shipment on its  way?,,,
22354,"I want to check my shipment, tell me where I can do it",,,
22355,can you tell me how to track my order?,,,
22356,tell me how to track my order,,,
22357,I want to know where I can track my delivery,,,
22358,can u ask an agent how to know where my package is?,,,
22359,is it possible to track my delivery?,,,
22360,can you tell me if my packages are on their way?,,,
22361,"i wanna check my delivery, can you tell me how to do it?",,,
22362,"I want to check my package, tell me how I can do it",,,
22363,can you ask an agent where to check my package?,,,
22364,"please, could you ask an agent how to check my shipments?",,,
22365,ask an agent whree  i can view the status of my purchase,,,
22366,could you tell mehow to check my package?,,,
22367,"I want to see the status of my order, can you help me?",,,
22368,can you track my shipments?,,,
22369,can you check my package?,,,
22370,can you tell me if I can track my shipment?,,,
22371,check the status of my purchase,,,
22372,can you tell me how I can know where my shipments are?,,,
22373,"please, could you ask an agent if I can track my package?",,,
22374,I need information about the status of my order,,,
22375,I want to know how to check my order,,,
22376,i wanna kow where I can check my delivery,,,
22377,whenwill my shipment arrive?,,,
22378,I wanna know if my package is out for delivery,,,
22379,how can I know where my shipment is?,,,
22380,tell me if my shipment is on its way,,,
22381,I want to know if my orders are on their way,,,
22382,ask an agent if i could track my fucking packages,,,
22383,"I want to track my delivery, tell me where I can do it",,,
22384,how can I check the status of my purchase?,,,
22385,how can I check my deilvery?,,,
22386,"I want to check my orders,  tell me where to do it",,,
22387,"i would like to check my shipment, can you tell me how to do it, please?",,,
22388,can you tell me where I can check my package?,,,
22389,i wanna know if my shipment is out for delivery,,,
22390,"please, can u ask an agent to track my purchase?",,,
22391,"I want to track my purchase, what can I do?",,,
22392,i wanna track my orders,,,
22393,"please, could u ask an agent where i could track my fucking purchase?",,,
22394,how do I check m orders?,,,
22395,i want to know where I can track my package,,,
22396,where do I check my orders?,,,
22397,"i want to check my orders, can you tell me where I can do it?",,,
22398,I want to know how I can check my package,,,
22399,tell me how I can track my shipments,,,
22400,where do I check my order?,,,
22401,"I want to check my order, tell me how to do it",,,
22402,"I want to track my delivery, can you tell me where to do it?",,,
22403,tell me if i can track my packages,,,
22404,can you tell me how ot know where my shipments are?,,,
22405,"I want to track my order, tell me how I can do it",,,
22406,where ca i see the status of my order?,,,
22407,"could you ask an agent how to track my orders, please?",,,
22408,"i wanna check my delivery, can you tell me where I can do it?",,,
22409,I need help trackign y orders,,,
22410,could u ask an agent how I could track my package?,,,
22411,"I want to track my delivery, tell me how to do it",,,
22412,how can I track my orders?,,,
22413,"I wanna know where to check my shipments, please",,,
22414,can you tell me how I can track my delivery?,,,
22415,"please, ask an agent to check my orders",,,
22416,I want tyo track my package,,,
22417,"i wanna check the status of my purchase, what should i do?",,,
22418,"I want to check my delivery, can you tell me where I can do it?",,,
22419,I want to check my deliveriers,,,
22420,"I wanna track my orders, tell me where to do it",,,
22421,where can I see the status of my purchase?,,,
22422,how do I know where my order is ?,,,
22423,i want ot know where to check my order,,,
22424,"please, can you ask an agent if I can track my shipment?",,,
22425,i want to check my orders,,,
22426,I want to know how to check my deliveries,,,
22427,i need help checking my packages,,,
22428,"could u ask an agent if i could track my packages, please?",,,
22429,"I want to track my shpiments, can you tell me where I can do it?",,,
22430,can you tell me how to track my shipments?,,,
22431,how to check my package,,,
22432,help me view the status off my order,,,
22433,tell me where to check my packages,,,
22434,"i would like to check my order, tell me where to do it",,,
22435,where to track my packages,,,
22436,tell me where to track my packages,,,
22437,where do I check the status of my purchase ?,,,
22438,"ask an agent if I could view the status of my order , please",,,
22439,"I want to check my package, can you tell me how to do it?",,,
22440,"I want to check my delivery , tell me where to do it",,,
22441,can u ask an agent to check my shipment?,,,
22442,where can I check the status of my order?,,,
22443,can you tell me how to check my delivery?,,,
22444,how can I know where my order is?,,,
22445,I want to track my delivery,,,
22446,can i tack my packages?,,,
22447,can you tell me where I can check my shipment?,,,
22448,help me check the status of my order,,,
22449,tell me how I can track my delivery,,,
22450,where can I view the status of my order?,,,
22451,track my orders,,,
22452,how do I track my package?,,,
22453,"Id like to check my order, can you tell me where to do it?",,,
22454,help me track my packages,,,
22455,i want to know how I can know where my shipments are,,,
22456,"I want to track my delivery, tell me where to do it",,,
22457,can u ask an agent how I can track myt orders?,,,
22458,"could you ask an agent where I could track my package, please?",,,
22459,can you tell me if my order is out for delivery?,,,
22460,how do i view the status of my ourchase?,,,
22461,"i want to check my delivery, can you tell me how I can do it?",,,
22462,I want to know if my shipment is on its way,,,
22463,"please, could u ask an agent if I could track my delivery?",,,
22464,"I wanna check my order, tell me how to do it",,,
22465,ask an agent if i can check my order,,,
22466,"I want to track my package, can you tell me where I can do it?",,,
22467,"I want to check the status of my order, what should I do?",,,
22468,I want to know where I can check my shipments,,,
22469,can you tell me where to track my packages?,,,
22470,track my delivery,,,
22471,"i want to check the status of my purchase, what do i have to do?",,,
22472,"i wanna track my order, tell me where I can do it",,,
22473,"I want to track my order, what should I do?",,,
22474,i wanna know if I can track my order,,,
22475,can you tell me how  I can know where my packages are ?,,,
22476,can you tell me where I can check my delivery?,,,
22477,tell me where to check my deliveries,,,
22478,tell me where I can track my orders,,,
22479,how may I know where my order is?,,,
22480,can you show me the status of my order?,,,
22481,can you tell me how to track my packages?,,,
22482,help me track my delivery,,,
22483,can you tell me if my shipments are on their way?,,,
22484,I want to check the status of my order,,,
22485,where to track my purchase,,,
22486,"I want to track my packages, tell me how I axn do it",,,
22487,tell me if my shipment is out for delivery,,,
22488,tell me where I can check my delivery,,,
22489,"I want to view the status of my order, what can I do?",,,
22490,tell me how to track my packages,,,
22491,tell me if I can check my order,,,
22492,where can I check my shipmetn?,,,
22493,tell me how to check my packages,,,
22494,how can I check my packages?,,,
22495,ask an agent how I can know where my package is,,,
22496,can you ask an agent if i can track my order?,,,
22497,where to track my delivery,,,
22498,I want to know how to know where my order is,,,
22499,"could you tell me how to nkow where my fucking package is, please?",,,
22500,check my orders,,,
22501,"can you ask an agent what my package of ym fucking shipment is, please ?",,,
22502,"I want to check the status of my order, what do I have to do?",,,
22503,can I see where my order is?,,,
22504,do you mind asking an agent if i can check my package?,,,
22505,can you tell me where I can track my depivery?,,,
22506,ask an agent to track my purchase,,,
22507,is it possible to track my order?,,,
22508,is it possible ot check my package?,,,
22509,"I want to track my deliveries, tell me where to do it",,,
22510,can you ask an agent how I can track my shipment?,,,
22511,can you show me information about the status of my order?,,,
22512,"I want to check my packages, tell me how to do it",,,
22513,"I want to check my shipments, tell me how I can do it",,,
22514,can u ask an agent if i can track my delivery?,,,
22515,"could you tell me if my shipment is on its way, please ?",,,
22516,can I track my purchase?,,,
22517,I want to know if I can track my orders,,,
